U_10,fmc,DF,KBDI,ROS,intensity,flame_h
0.0,0.0,6.0,40.0,18.72865793170177,4.539785683910543,0.09219508182811517
0.0,0.0,6.0,60.0,22.26667525081925,5.540745603439186,0.12270369295556588
0.0,0.0,6.0,80.0,26.59499881483051,7.8416314106394776,0.1669796376111789
0.0,0.0,6.0,100.0,31.7461538653713,12.912685434686383,0.22944190957574945
0.0,0.0,6.0,120.0,37.58980148240783,23.2979384338186,0.31329919642261783
0.0,0.0,6.0,140.0,43.72531581230329,42.16937641145856,0.41710223388514944
0.0,0.0,6.0,160.0,49.48672217495941,70.94973278765335,0.531084869506893
0.0,0.0,6.0,180.0,54.20156945638152,106.09872448459943,0.6384760302867842
0.0,0.0,6.0,200.0,57.32229732618939,137.31986582215401,0.7180527458138368
0.0,0.0,8.0,0.0,16.65289886970893,4.203912044536135,0.07676075706827082
0.0,0.0,8.0,20.0,16.65289886970893,4.203912044536135,0.07676075706827082
0.0,0.0,8.0,40.0,19.495022918454513,4.705293694835458,0.098360026440771
0.0,0.0,8.0,60.0,24.62661101111366,6.617553689942899,0.14590944511503723
0.0,0.0,8.0,80.0,31.206905741340698,12.230660234023604,0.2224056856363515
0.0,0.0,8.0,100.0,39.028773370932356,26.867980814621973,0.33614257822121274
0.0,0.0,8.0,120.0,47.09534830716288,57.41176553717983,0.48166496456203534
0.0,0.0,8.0,140.0,53.79841003205715,102.57871335221671,0.6287254220695583
0.0,0.0,8.0,160.0,58.15589620832494,147.0019015482103,0.7406482405002417
0.0,0.0,8.0,180.0,60.47295529994331,177.47955963470577,0.8068611724063692
0.0,0.0,8.0,200.0,61.500236159489205,192.9066370518205,0.8379997782030886
0.0,0.0,10.0,0.0,16.65289886970893,4.203912044536135,0.07676075706827082
0.0,0.0,10.0,20.0,16.65289886970893,4.203912044536135,0.07676075706827082
0.0,0.0,10.0,40.0,20.30113321137366,4.907614799769467,0.105111442714027
0.0,0.0,10.0,60.0,27.25449924389235,8.328938119388619,0.17438553010334357
0.0,0.0,10.0,80.0,36.40458766784955,20.690531821797578,0.2951473894671143
0.0,0.0,10.0,100.0,46.52933601059316,54.559035157200164,0.4704187385645098
0.0,0.0,10.0,120.0,54.74405249724373,111.00795712726492,0.6517784560631651
0.0,0.0,10.0,140.0,59.346575698221116,161.96723630159056,0.7740163935573374
0.0,0.0,10.0,160.0,61.30019233099708,238.3420494572112,0.9220792375746205
0.0,0.0,10.0,180.0,62.02199375719826,250.50594032074804,0.9439614649074282
