ROS,fl_max,tsf,k,intensity
600.0,20.0,18.0,0.2,6030.592920826786
600.0,20.0,20.0,0.2,6086.443038889847
600.0,20.0,22.0,0.2,6123.880492600976
600.0,20.0,24.0,0.2,6148.975568296076
800.0,20.0,0.0,0.2,0.0
800.0,20.0,2.0,0.2,2725.3542861053816
800.0,20.0,4.0,0.2,4552.213896630968
800.0,20.0,6.0,0.2,5776.79451485913
800.0,20.0,8.0,0.2,6597.655451244182
800.0,20.0,10.0,0.2,7147.894991910667
800.0,20.0,12.0,0.2,7516.731586140857
800.0,20.0,14.0,0.2,7763.970148964865
800.0,20.0,16.0,0.2,7929.699113778841
800.0,20.0,18.0,0.2,8040.790561102382
800.0,20.0,20.0,0.2,8115.257385186463
800.0,20.0,22.0,0.2,8165.173990134635
800.0,20.0,24.0,0.2,8198.634091061434
1000.0,20.0,0.0,0.2,0.0
1000.0,20.0,2.0,0.2,3406.6928576317273
1000.0,20.0,4.0,0.2,5690.267370788711
1000.0,20.0,6.0,0.2,7220.993143573913
1000.0,20.0,8.0,0.2,8247.069314055228
1000.0,20.0,10.0,0.2,8934.868739888336
1000.0,20.0,12.0,0.2,9395.914482676071
1000.0,20.0,14.0,0.2,9704.962686206083
1000.0,20.0,16.0,0.2,9912.123892223552
1000.0,20.0,18.0,0.2,10050.988201377979
1000.0,20.0,20.0,0.2,10144.07173148308
1000.0,20.0,22.0,0.2,10206.467487668295
1000.0,20.0,24.0,0.2,10248.292613826794
1200.0,20.0,0.0,0.2,0.0
1200.0,20.0,2.0,0.2,4088.0314291580726
1200.0,20.0,4.0,0.2,6828.320844946452
1200.0,20.0,6.0,0.2,8665.191772288694
1200.0,20.0,8.0,0.2,9896.483176866273
1200.0,20.0,10.0,0.2,10721.842487866
1200.0,20.0,12.0,0.2,11275.097379211285
1200.0,20.0,14.0,0.2,11645.955223447298
1200.0,20.0,16.0,0.2,11894.54867066826
1200.0,20.0,18.0,0.2,12061.185841653572
1200.0,20.0,20.0,0.2,12172.886077779694
1200.0,20.0,22.0,0.2,12247.760985201952
1200.0,20.0,24.0,0.2,12297.951136592152
1400.0,20.0,0.0,0.2,0.0
1400.0,20.0,2.0,0.2,4769.370000684418
1400.0,20.0,4.0,0.2,7966.374319104194
1400.0,20.0,6.0,0.2,10109.390401003478
1400.0,20.0,8.0,0.2,11545.897039677318
1400.0,20.0,10.0,0.2,12508.81623584367
1400.0,20.0,12.0,0.2,13154.2802757465
1400.0,20.0,14.0,0.2,13586.947760688516
1400.0,20.0,16.0,0.2,13876.973449112973
1400.0,20.0,18.0,0.2,14071.38348192917
1400.0,20.0,20.0,0.2,14201.70042407631
1400.0,20.0,22.0,0.2,14289.054482735612
1400.0,20.0,24.0,0.2,14347.609659357511
1600.0,20.0,0.0,0.2,0.0
1600.0,20.0,2.0,0.2,5450.708572210763
1600.0,20.0,4.0,0.2,9104.427793261935
1600.0,20.0,6.0,0.2,11553.58902971826
1600.0,20.0,8.0,0.2,13195.310902488363
1600.0,20.0,10.0,0.2,14295.789983821334
1600.0,20.0,12.0,0.2,15033.463172281714
1600.0,20.0,14.0,0.2,15527.94029792973
1600.0,20.0,16.0,0.2,15859.398227557682
1600.0,20.0,18.0,0.2,16081.581122204763
1600.0,20.0,20.0,0.2,16230.514770372925
1600.0,20.0,22.0,0.2,16330.34798026927
1600.0,20.0,24.0,0.2,16397.26818212287
1800.0,20.0,0.0,0.2,0.0
1800.0,20.0,2.0,0.2,6132.047143737109
1800.0,20.0,4.0,0.2,10242.481267419678
1800.0,20.0,6.0,0.2,12997.787658433042
1800.0,20.0,8.0,0.2,14844.72476529941
1800.0,20.0,10.0,0.2,16082.763731799003
1800.0,20.0,12.0,0.2,16912.646068816928
1800.0,20.0,14.0,0.2,17468.93283517095
1800.0,20.0,16.0,0.2,17841.823006002393
1800.0,20.0,18.0,0.2,18091.77876248036
1800.0,20.0,20.0,0.2,18259.32911666954
1800.0,20.0,22.0,0.2,18371.64147780293
1800.0,20.0,24.0,0.2,18446.92670488823
2000.0,20.0,0.0,0.2,0.0
2000.0,20.0,2.0,0.2,6813.385715263455
2000.0,20.0,4.0,0.2,11380.534741577421
2000.0,20.0,6.0,0.2,14441.986287147825
2000.0,20.0,8.0,0.2,16494.138628110457
2000.0,20.0,10.0,0.2,17869.73747977667
2000.0,20.0,12.0,0.2,18791.828965352142
2000.0,20.0,14.0,0.2,19409.925372412166
2000.0,20.0,16.0,0.2,19824.247784447103
2000.0,20.0,18.0,0.2,20101.976402755958
2000.0,20.0,20.0,0.2,20288.14346296616
2000.0,20.0,22.0,0.2,20412.93497533659
2000.0,20.0,24.0,0.2,20496.585227653588
2200.0,20.0,0.0,0.2,0.0
2200.0,20.0,2.0,0.2,7494.7242867898
2200.0,20.0,4.0,0.2,12518.588215735163
2200.0,20.0,6.0,0.2,15886.184915862608
2200.0,20.0,8.0,0.2,18143.552490921502
2200.0,20.0,10.0,0.2,19656.71122775434
2200.0,20.0,12.0,0.2,20671.011861887357
2200.0,20.0,14.0,0.2,21350.917909653384
2200.0,20.0,16.0,0.2,21806.672562891814
2200.0,20.0,18.0,0.2,22112.174043031555
2200.0,20.0,20.0,0.2,22316.957809262774
2200.0,20.0,22.0,0.2,22454.228472870247
2200.0,20.0,24.0,0.2,22546.243750418947
2400.0,20.0,0.0,0.2,0.0
2400.0,20.0,2.0,0.2,8176.062858316145
2400.0,20.0,4.0,0.2,13656.641689892904
2400.0,20.0,6.0,0.2,17330.383544577388
2400.0,20.0,8.0,0.2,19792.966353732547
2400.0,20.0,10.0,0.2,21443.684975732
2400.0,20.0,12.0,0.2,22550.19475842257
2400.0,20.0,14.0,0.2,23291.910446894595
2400.0,20.0,16.0,0.2,23789.09734133652
2400.0,20.0,18.0,0.2,24122.371683307145
2400.0,20.0,20.0,0.2,24345.77215555939
